blueTeamFirstBlood,blueWin,DamageDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
1,0,1057,1,-1,0,0,10,-3,-1,59,-16
1,0,5156,2,1,0,0,3,0,-11,-7,-8
0,1,234,0,-1,-1,0,1,0,2,-47,4
0,0,4746,-2,0,1,0,15,3,2,-5,-11
0,1,-24,0,1,-2,0,-143,3,4,17,0
1,1,647,-1,-1,1,0,-2,-2,1,40,-16
0,0,-5531,-2,0,-1,0,1,1,7,16,30
0,0,-4799,-2,-1,0,0,-138,-2,-3,25,11
1,1,5267,1,1,1,0,8,2,1,-29,39
1,0,-14198,2,0,-2,0,-114,-2,1,-21,1
1,0,-3991,0,0,0,0,3,0,3,-37,-16
1,0,-2120,-1,0,-1,0,6,1,0,-9,26
1,1,-6199,-2,0,-1,0,-1,-4,0,-19,-2
0,0,-3757,-2,0,-2,0,12,3,0,-37,23
0,0,-9631,-2,0,-1,0,-9,-4,4,-74,-25
1,1,-2529,-2,1,0,0,-3,-1,4,36,20
0,1,5329,-1,0,2,0,-20,-2,-3,29,-13
1,1,-4299,0,0,-1,0,-3,-3,7,-21,-8
0,0,-7860,-2,0,0,0,34,-6,-2,33,0
0,1,-447,-1,0,0,0,-1,0,7,-15,4
1,0,-793,-1,0,-1,0,-16,5,1,-1,50
1,1,268,-1,0,-1,0,-7,-1,-3,28,-17
0,0,-184,-1,0,-3,0,0,-2,6,-37,-18
0,1,14241,1,0,3,0,6,3,-11,86,21
0,0,-880,0,0,-1,0,193,0,4,-33,-52
1,0,-6426,-2,0,-1,0,-8,4,5,-34,3
1,0,5244,2,0,-1,0,6,2,1,16,-24
1,0,6383,0,0,0,0,12,2,-3,-15,35
1,0,-7054,-2,0,0,0,5,5,-2,-12,4
0,0,-4334,0,0,-2,0,9,9,-3,-1,-3
1,0,3097,0,0,0,0,1,-2,-6,28,24
1,0,4769,1,-1,0,0,-1,-6,4,-5,-21
0,0,-7441,1,0,-2,0,-11,-4,8,-9,46
0,0,-4472,-2,0,-1,0,1,1,-1,-67,20
1,0,-6261,2,0,-2,0,-23,-3,6,-72,-31
0,1,13202,-2,1,4,0,0,2,-13,82,-14
1,0,-6240,0,0,-1,0,5,-1,-1,-58,-15
1,1,9265,2,0,0,0,-7,-4,4,-42,33
0,0,1871,0,0,0,0,2,0,0,-5,12
1,1,-3197,-2,0,1,0,-54,0,-3,18,1
1,1,6424,-1,-1,0,0,9,2,-6,-32,-12
1,1,-2005,0,0,1,0,134,2,-2,56,-24
1,0,-8560,0,0,-3,0,-2,6,9,-88,-4
1,0,-7368,0,0,-1,0,-124,0,1,-8,-23
1,0,-8623,2,0,-1,0,6,1,3,-57,-12
1,1,17869,1,0,1,0,-8,4,3,21,60
1,1,2411,1,0,1,0,0,-1,-3,58,33
0,1,4101,1,0,-1,0,-2,3,1,56,0
1,1,2494,2,0,1,0,14,-1,-4,12,9
0,0,-20326,-2,-1,-3,0,-92,2,8,-86,-73
0,1,2176,2,1,2,0,98,3,-3,5,4
1,0,-5055,-2,0,-1,0,1,-1,4,-19,4
0,0,5663,0,0,-1,0,-4,5,4,12,-3
1,0,6114,2,0,-1,0,8,-1,4,-36,-28
0,1,1016,2,0,-1,0,9,5,4,1,13
1,0,-584,0,0,-2,0,10,6,-1,9,-5
1,0,-6265,1,-1,-2,0,-2,-3,4,-14,0
0,1,4205,2,0,-1,0,-10,-1,-4,61,-10
1,0,-3257,-1,0,-1,0,13,2,5,-7,-14
0,1,6964,-2,0,0,0,0,0,1,56,22
0,0,-5181,-2,0,0,0,-1,1,0,-8,-8
0,0,-1942,-2,0,-3,0,10,-3,7,-67,0
0,1,-4961,-2,0,-1,0,-7,0,1,8,-5
1,1,-178,2,0,-2,0,-7,0,-3,122,-3
0,1,1543,2,1,-1,0,243,3,3,-32,19
1,1,5406,1,1,-1,0,4,2,-10,-11,48
0,0,-11671,-1,0,2,0,20,-1,-3,-33,17
1,1,7904,0,0,0,0,-5,-5,-1,11,17
0,0,-5585,0,-1,1,0,-11,-2,-1,14,-17
1,1,13007,1,0,5,2,-4,1,-12,130,7
0,0,-13946,-1,-1,-3,0,-14,-1,4,-76,-48
1,1,3950,-1,1,-3,0,24,-1,7,2,-5
0,0,-15275,0,1,-2,0,-9,-5,4,21,-12
1,1,16516,2,1,3,0,14,3,-10,55,-11
0,1,-7840,-2,0,0,0,6,0,4,35,-16
1,1,10633,-1,0,1,0,4,5,-2,11,7
1,1,1826,-1,0,1,0,11,3,-1,23,39
0,1,2509,1,0,-1,0,9,3,-5,50,-18
0,1,9951,1,-1,0,0,1,0,1,3,-11
0,0,-561,2,0,-1,0,-9,3,3,-31,6
0,0,-5356,0,0,-2,0,0,-1,6,-69,-34
0,0,-6311,-2,0,1,0,-6,-1,-5,43,20
0,0,-13558,-2,0,-2,0,-7,-1,5,-7,21
0,0,-18132,-2,0,-3,0,67,-1,6,-61,-48
0,1,5674,0,0,0,0,-2,1,4,-6,8
1,1,7482,1,0,3,0,-73,0,-8,76,3
1,0,4498,2,0,1,0,1,1,1,-36,0
0,1,7891,0,-1,1,0,6,3,-3,40,5
0,1,98,-2,1,0,0,-8,-3,1,24,-28
0,0,6279,-1,0,-1,0,-7,-3,-1,18,-20
0,0,-7823,-2,-1,1,0,5,-3,-3,-23,6
0,0,-4242,0,0,-1,0,-3,0,2,-13,-47
0,0,5176,1,-1,2,0,316,0,0,30,-29
0,0,4765,0,-1,-1,0,-203,-2,4,39,-8
1,0,-7897,0,-1,-3,0,0,-3,8,-30,-44
0,1,3222,1,0,1,0,-5,-1,-2,39,21
0,0,-5817,-2,0,-1,0,0,-5,2,49,22
1,1,6219,0,0,1,0,4,0,-12,57,-2
0,1,1319,-2,0,-1,0,8,1,3,-53,6
1,0,-10538,-1,0,-5,0,-10,1,10,-72,-52
0,1,5453,-2,0,0,0,0,2,0,14,27
1,1,7864,2,0,1,0,-7,1,-10,13,4
0,0,-9651,-2,0,-1,0,-22,-4,5,-24,5
0,1,6102,1,1,0,0,7,8,-2,15,-15
0,0,-5367,-2,0,-1,0,-7,-1,7,-30,8
1,1,8234,1,0,-1,0,6,2,0,-3,-4
1,1,4047,0,0,1,0,3,1,-11,25,0
1,1,933,-1,0,-2,0,-4,-3,-1,-70,8
0,0,-1608,-2,0,2,0,-6,-1,-2,34,-16
1,0,2014,-1,0,-1,0,-4,0,-2,-12,-36
0,0,3953,-2,1,-2,0,-54,4,2,-43,21
1,1,11689,-1,0,0,0,-5,-2,-7,69,4
1,0,-1574,0,0,-2,0,1,-1,6,-10,-30
0,1,15425,2,0,2,0,34,0,-4,-70,69
1,1,-3099,-1,0,-1,0,10,2,-4,7,21
1,0,449,0,0,0,0,0,-5,6,33,-10
0,0,-8056,-1,0,-1,0,-4,-4,-1,-31,-27
1,1,-3170,-1,0,-2,0,-58,-1,4,-19,43
1,1,2998,0,0,1,0,4,5,-4,-13,9
1,1,13830,-1,1,2,0,50,-1,-11,-11,20
1,1,9643,-1,0,0,0,-6,-2,7,31,-20
0,0,1089,-2,0,-3,0,-3,0,5,22,-59
1,1,344,-1,0,0,0,-71,-1,-3,33,-22
0,0,-14570,-1,0,1,0,-3,-9,-2,46,-4
0,1,-4169,0,0,0,0,13,0,4,-40,-36
0,0,-4514,-1,0,-3,0,-27,2,4,3,8
0,0,-11474,-2,-1,-2,0,-11,-7,7,-46,-8
1,1,17275,1,0,5,0,30,6,-12,78,26
1,1,4196,2,0,1,0,-4,1,-5,46,7
0,1,8418,1,-1,-1,0,5,1,-1,43,-29
1,1,5000,-2,1,1,0,6,-1,-8,23,16
1,0,-3038,0,-1,-3,0,-2,0,7,-50,-50
0,0,-4233,-2,1,-1,0,1,-1,7,-27,-20
0,1,3005,0,0,0,0,-1,-6,2,58,16
0,0,-11821,-2,0,-3,0,-2,0,6,-67,-43
0,1,8266,0,0,0,0,-9,-3,0,43,54
0,1,15651,0,1,1,0,6,5,-2,73,47
0,1,6518,-1,0,0,0,-67,0,0,16,-2
1,0,-1597,-1,0,-2,0,-103,-4,6,-72,-2
0,1,10690,0,0,0,0,344,-2,0,4,16
0,0,8229,-1,0,1,0,4,4,2,7,9
0,1,-4038,-1,0,-3,0,-50,-4,6,-20,-6
0,0,-4871,-1,0,-3,0,-2,4,6,-23,-56
1,1,9996,1,1,-1,0,-3,1,1,78,-31
1,0,-4679,1,0,-1,0,-5,-1,4,-38,-32
0,0,-13174,-2,0,-1,0,0,0,3,-60,-28
0,0,-7345,0,0,-3,0,-21,-2,-2,14,-27
1,0,1863,-2,0,-1,0,-13,3,8,-15,24
1,1,7523,0,0,-3,0,7,1,6,20,17
0,0,5605,1,0,1,0,61,1,-5,44,8
1,1,13868,0,1,1,0,40,4,-8,109,55
1,1,494,-2,0,0,0,44,2,-4,33,-15
1,0,124,0,0,0,0,10,4,3,-31,12
1,0,-13051,-1,0,-3,0,-173,1,7,-150,28
0,1,1736,1,0,0,0,3,2,2,-4,7
0,1,3371,2,0,-1,0,2,1,5,-30,28
1,1,-99,2,0,1,0,-4,0,3,23,13
1,0,5135,-2,0,0,0,-13,-7,6,16,8
1,0,-5217,1,-1,-1,0,-5,-6,4,-13,-5
0,0,-13185,-2,1,-1,0,0,-4,2,-29,-12
0,0,-5455,-2,-1,-2,0,-5,-2,4,-8,0
1,1,9741,1,0,-1,0,-25,2,0,23,0
0,1,10786,-2,1,3,0,6,6,-9,64,-13
1,0,2489,0,1,1,0,10,1,-3,15,26
1,1,14259,0,0,1,0,-11,-2,3,17,2
0,1,-5604,-1,1,0,0,3,3,4,-7,-3
1,1,-9595,0,0,-2,0,10,0,4,-17,8
0,1,-4464,-1,1,0,0,-1,-5,5,-16,-4
0,1,5584,0,0,1,0,-77,-3,2,32,9
0,0,-4633,0,0,0,0,-66,5,0,-30,13
1,1,830,-1,1,0,0,35,0,-2,-30,29
1,0,12211,-2,0,1,0,-1,-1,-1,9,16
0,0,-601,2,0,0,0,-2,2,2,-45,38
1,0,-17032,-1,0,0,0,-116,7,3,-7,0
1,1,3778,2,0,-1,0,3,3,3,-2,-4
0,0,-2703,1,0,0,0,-5,-1,-1,-10,-5
1,0,8102,2,0,0,0,-190,1,7,-72,1
1,1,5668,1,1,1,0,-1,-2,-6,61,10
0,1,-3096,-2,0,0,0,15,-4,4,-18,-26
0,0,4316,-1,0,0,0,-3,-5,1,35,8
1,0,5885,-1,0,0,0,-6,-5,0,59,-16
0,0,-5408,-1,0,-1,0,22,6,-2,7,31
0,0,-9758,-1,0,-3,0,-13,0,2,-66,-35
0,0,-6410,-2,-1,1,0,25,-2,8,-3,-17
1,0,12921,1,0,2,0,2,0,-7,-70,-6
1,1,337,0,0,-1,0,-5,-4,1,-26,30
0,0,-8173,-2,0,-2,0,3,-2,4,-35,-8
1,1,-10015,-2,0,-2,0,8,-2,5,-11,0
1,1,4432,0,0,-1,0,23,0,-3,72,-25
1,1,-3571,1,0,0,0,-6,-2,5,20,1
0,0,-6459,1,-1,-1,0,14,-1,4,-23,16
0,1,6871,-1,0,1,0,-7,-2,0,-2,11
1,0,-2857,-1,1,-1,0,6,1,-2,4,-3
0,1,103,-1,0,-2,0,24,-2,-2,-9,-33
0,0,4301,2,0,1,0,-7,4,-4,-28,-13
0,0,-740,-2,0,1,0,195,1,1,-4,-12
1,0,2465,2,0,2,0,21,4,-1,54,0
0,0,4383,1,0,1,0,-4,0,0,1,4
0,1,-3843,0,0,2,0,2,1,3,21,29
0,0,-9392,-1,0,-3,0,-1,-3,7,-50,-12
0,1,-2050,0,0,1,0,2,-1,2,-12,-29
1,1,-1890,1,0,0,0,-3,1,2,-5,32
0,0,-10514,-1,0,0,0,4,5,-1,-41,-23
0,1,-1657,2,0,-1,0,-46,-3,5,24,-12
0,0,-15377,2,0,-3,0,-8,-3,5,-16,0
1,0,2476,2,1,0,0,-42,1,7,-8,15
1,0,-6030,-1,0,0,0,-19,0,-1,-27,27
1,0,-443,0,1,2,0,-2,-5,-9,6,-8
1,1,13581,2,1,3,0,5,3,-12,73,9
1,0,-3203,-2,0,-1,0,2,4,5,-57,-16
0,1,-11154,1,0,-2,0,10,-3,6,-70,-13
1,1,6206,0,0,1,0,6,-4,-5,55,25
1,1,14718,-1,0,0,0,-5,2,-5,57,-1
1,0,-5601,0,0,0,0,-23,-2,0,-22,-49
1,0,-8674,-1,0,-2,0,49,-2,5,-54,-8
1,1,-3400,1,0,0,0,4,4,-8,-3,-11
1,1,930,0,0,0,0,-4,-3,5,-38,0
1,1,4562,-1,0,0,0,0,1,1,6,4
0,1,-1264,2,0,-1,0,-5,5,7,26,-34
1,1,13123,0,0,-1,0,46,1,-4,99,-17
1,0,-6549,0,0,0,0,0,3,-5,-15,-4
0,1,3189,2,0,1,0,1,-1,6,53,36
1,0,-5178,-2,0,0,0,-6,3,0,-30,-9
1,1,5377,1,0,-2,0,-1,-2,-3,44,6
1,1,11253,1,0,0,0,4,1,-2,93,12
1,0,-2284,-1,0,0,0,-1,1,3,-14,-16
0,0,888,-2,1,-1,0,12,-1,4,-58,21
0,1,4735,1,0,1,0,19,-4,-8,45,-3
1,1,5950,2,1,-1,0,-2,0,4,-1,13
1,1,21577,0,1,1,0,-52,3,-4,37,9
0,1,2377,1,0,-1,0,11,-1,4,18,26
1,1,-1292,0,0,-2,0,0,4,3,-35,4
0,0,-2027,-1,0,0,0,4,4,1,-37,-5
1,0,-895,-2,0,-2,0,-2,0,9,-27,-32
0,1,-851,-1,0,0,0,29,1,-2,-17,5
0,0,-1113,1,-1,0,0,53,2,-2,-38,-30
1,0,-3777,0,0,-2,0,-8,-2,7,-28,-21
0,1,-1732,-2,0,2,0,-15,-2,-3,-35,9
1,0,-430,0,0,-1,0,3,-1,1,36,-2
1,0,-3477,-1,0,0,0,-4,-3,0,-9,13
0,0,-5196,0,0,-2,0,2,5,4,-5,-28
0,0,-14471,1,0,-1,0,9,5,2,3,-19
1,0,5109,1,0,0,0,3,0,3,26,-17
0,1,5407,1,0,2,0,32,-3,-6,8,21
1,1,-2303,1,-1,1,0,-71,-2,-3,-16,24
0,0,-6550,-1,0,-1,0,-4,-5,5,-34,-43
1,0,-10582,-2,0,-3,0,-126,1,8,-2,-16
0,1,-2435,1,0,1,0,-6,-2,-2,-33,-13
1,1,12808,0,1,0,0,-9,5,-8,28,11
1,1,5477,0,0,0,0,15,3,1,47,0
0,1,-1800,0,0,-1,0,-4,-5,4,-12,-4
0,1,-2965,2,0,0,0,1,-7,1,-40,12
0,0,2967,-1,0,-1,0,6,-3,6,-41,-9
0,0,-7075,0,1,-1,0,116,-1,4,-26,-4
1,1,12255,2,0,-1,0,5,1,-3,18,40
0,1,392,0,0,-1,0,10,1,6,-53,-20
1,0,-11950,-1,0,-3,0,40,2,7,-34,-1
1,1,2096,2,1,3,0,-100,-4,-7,40,-18
1,1,-550,2,0,0,0,-14,6,0,-20,-4
0,1,-5516,2,0,0,0,1,-1,4,-10,36
1,1,-4025,1,1,-2,0,3,3,6,46,24
0,1,9753,0,0,-1,0,41,0,-4,-5,18
1,1,-12564,-2,0,-1,0,14,-1,3,21,-42
1,0,-6702,2,-1,-4,0,-9,1,6,9,-21
0,0,6249,-2,1,1,0,-71,-2,-6,14,63
1,1,-1132,2,-1,0,0,-6,1,-5,44,39
1,0,2076,0,1,0,0,-9,-3,2,26,28
1,1,2761,1,1,-1,0,6,2,-9,-14,18
0,0,-589,-2,0,0,0,116,0,5,-43,30
1,1,12728,1,1,4,0,-60,2,-5,-3,-11
1,0,-81,1,0,0,0,7,-6,0,66,24
0,0,-1817,0,0,-1,0,-22,-3,2,-62,9
0,1,9223,0,0,0,0,-1,1,4,57,-1
0,1,-7642,1,0,0,0,5,1,-4,-28,-4
0,1,5510,0,0,0,0,-8,-3,4,47,56
1,0,2486,0,1,-1,0,-62,-7,-1,43,28
1,0,-5422,-2,0,-1,0,12,3,2,-52,-18
0,0,-3396,0,1,0,0,5,0,-3,42,13
1,1,8775,2,-1,0,0,3,-3,0,79,-21
1,1,-1462,0,0,-1,0,8,3,-1,-31,-55
0,1,2635,-1,0,0,0,7,0,1,-62,36
1,1,4487,0,0,0,0,22,0,-4,70,14
1,1,5554,0,1,-1,0,200,-1,2,-1,12
0,0,-9884,-2,0,0,0,-10,-1,2,-15,-48
0,1,-18,1,0,0,0,27,4,5,25,-28
1,1,13670,-2,0,0,0,-6,2,2,54,-4
1,1,1785,1,0,0,0,2,0,3,46,3
0,1,-2899,2,0,0,0,4,-1,-5,-15,8
1,1,6905,2,1,1,0,2,-2,-1,6,24
1,1,1764,1,1,1,0,-1,-1,-5,26,-1
0,0,-4609,-1,0,-1,0,-23,-3,3,-27,-6
0,0,-1561,-2,0,-2,0,6,-1,6,-24,24
1,1,-562,0,0,0,0,18,1,5,13,-23
1,0,-10385,0,0,0,0,40,0,6,-4,-13
0,1,-8060,-2,0,-1,0,-1,-3,5,-36,16
0,1,-1311,0,-1,-1,0,-1,5,4,-34,16
1,0,-4405,0,1,0,0,-4,1,2,16,0
0,1,12008,2,0,2,0,15,0,-3,35,54
0,0,-4756,0,0,-2,0,157,2,3,-25,-39
1,1,2568,1,0,3,0,-10,2,-5,3,16
0,0,-15360,0,0,-4,0,-13,-7,6,-27,29
0,1,4309,0,0,0,0,-42,-4,-1,36,30
0,0,-5262,-2,0,1,0,6,3,-4,24,-4
0,0,-8191,-1,0,0,0,23,3,2,-13,-30
1,0,-7124,2,0,0,0,193,1,-1,33,-26
0,0,-10069,-1,0,0,0,-3,2,3,-14,-44
0,0,3993,1,0,1,0,-31,-2,-3,11,16
0,0,1126,-2,0,1,0,0,2,-6,35,8
1,1,-3502,-1,0,-1,0,-4,-1,-3,10,-31
0,0,-1066,1,1,1,0,-5,-2,2,-3,-12
0,0,-13250,0,0,-1,0,2,-7,2,-27,-18
0,1,-6277,-2,0,0,0,-1,-1,-2,-73,22
1,1,1795,2,0,0,0,1,2,-1,-16,-20
1,1,12178,0,0,0,0,-2,-2,3,-31,10
1,0,6216,-1,0,-1,0,13,5,2,-16,20
1,1,6258,2,0,0,0,109,1,-4,55,-36
1,1,1870,1,0,0,0,-273,-1,-1,-30,-4
0,0,4181,-1,0,0,0,115,-2,-2,-3,28
0,0,-5841,-2,0,-2,0,22,2,4,-11,-39
1,0,-2323,0,0,-1,0,-8,-1,4,-57,-14
0,1,1944,1,0,-1,0,81,3,1,72,4
0,0,-2520,-2,-1,0,0,4,4,-2,-3,-6
1,0,-2331,2,-1,0,0,-52,2,-2,20,-32
1,0,-8225,-2,0,-2,0,161,0,3,30,-34
1,1,-3312,0,0,-2,0,-147,-4,6,22,-5
1,1,16700,2,1,1,0,-31,-1,-5,45,39
0,1,-10418,-1,1,0,0,-40,0,3,-21,-13
1,1,770,0,0,1,0,-5,-2,1,-21,15
1,0,12874,0,0,2,0,-94,6,-5,65,-34
0,0,-5737,-1,0,0,0,9,1,2,14,-16
0,0,-341,2,0,1,0,7,3,-3,-29,-8
0,0,1882,-1,1,-2,0,-16,0,5,25,25
1,1,-204,0,1,0,0,4,2,2,52,-14
0,0,-9335,0,1,-2,0,-18,-2,8,-27,-37
0,1,7186,1,0,-1,0,2,-2,0,43,33
1,1,-7317,-2,0,-2,0,-7,3,2,29,16
1,0,-1560,-1,-1,-2,0,-9,-3,5,-95,7
1,0,2000,0,-1,1,0,-2,2,-4,32,-24
1,0,-8599,0,0,1,0,1,-1,3,-5,-2
1,1,2117,1,0,2,0,-3,-3,-5,92,48
1,1,1631,0,0,2,0,0,0,-2,57,-9
1,1,4636,0,0,0,0,0,1,-2,-17,-4
0,0,989,-1,0,-2,0,-3,-4,5,10,-19
0,1,294,0,-1,0,0,-3,-2,1,6,19
1,0,9376,-2,0,2,0,-5,-3,-10,55,16
1,0,2660,0,0,1,0,6,3,3,2,0
0,0,-11364,2,1,-2,0,-4,-4,8,-11,-1
1,1,10188,1,1,0,0,8,3,4,-4,-8
0,0,-490,-2,1,0,0,1,1,2,36,-41
0,1,7727,-1,1,1,0,-1,1,-2,30,4
0,0,-7425,-2,-1,-1,0,-11,-3,3,-3,15
0,0,-192,0,0,0,0,6,0,-7,-3,-23
0,0,-10361,-1,0,0,0,7,-3,7,-60,-17
0,1,-4421,-2,1,0,0,-11,-3,2,-33,13
0,0,-7765,-2,0,1,0,4,2,2,-28,17
1,1,17515,0,1,4,0,32,0,-11,108,7
1,0,2940,0,1,1,0,3,1,-7,3,0
1,0,-955,-1,0,-2,0,18,-3,-1,-36,-13
1,1,484,0,1,-1,0,10,1,-5,69,-6
0,0,-19985,-2,0,-2,0,11,4,8,-60,12
1,0,894,1,0,-1,0,-3,-1,4,-1,-11
0,1,5088,-2,0,-1,0,-9,0,1,9,-20
0,0,-7721,0,-1,-2,0,-122,2,6,-54,-6
1,0,3466,-2,0,0,0,23,-1,0,11,-5
0,0,-9169,-2,-1,-2,0,-1,-1,-3,-22,17
0,1,-6645,-2,0,-3,0,11,-4,8,-33,-12
0,0,-587,-1,-1,-1,0,-14,-9,0,-9,-10
0,1,-1742,-1,0,-1,0,5,3,3,-19,-2
0,1,7866,0,0,2,0,-7,-1,-1,39,40
1,1,-461,1,0,1,0,-4,2,-3,47,-7
1,1,245,1,0,1,0,18,-2,-2,21,6
0,0,436,0,0,-1,0,-72,1,2,14,4
0,1,7237,-1,0,2,0,9,0,-1,8,19
0,0,-3348,-1,-1,-1,0,-9,5,7,-41,12
0,1,-5732,1,0,-1,0,5,2,-2,-32,0
0,0,-3557,-2,0,1,0,-5,-1,1,-3,40
0,1,16703,0,1,3,0,7,4,-12,32,8
1,1,13445,1,1,0,0,-5,0,-5,46,20
1,0,-1932,-2,0,-1,0,-1,-1,-1,-42,-45
0,1,8373,0,0,3,0,3,1,-9,40,27
1,0,-1093,-2,0,0,0,-2,1,3,-51,21
1,1,2365,1,0,-2,0,-4,-1,2,-16,55
0,0,-17037,0,0,-1,0,34,-5,-2,-24,-23
1,0,7266,0,0,1,0,-230,4,1,41,43
1,1,10164,1,1,2,0,-13,-2,-13,31,10
1,1,-747,0,0,0,0,-8,0,-4,-29,20
1,1,-106,-2,-1,-1,0,2,2,1,-25,-19
1,1,6135,0,0,1,0,-122,4,-10,72,-20
1,0,-2649,-2,0,0,0,-22,-2,4,21,-2
1,1,-1251,1,1,2,0,-249,4,-3,95,-37
0,0,-5583,0,0,-3,0,8,-2,10,-27,-5
0,0,-9749,-2,0,-2,0,11,-2,1,-16,-19
1,1,8389,1,0,2,0,-3,0,-6,27,-20
1,0,-7865,-1,-1,1,0,1,-2,3,50,-16
0,0,-967,-1,0,-3,0,-3,-2,0,39,15
1,1,8990,2,0,3,0,9,4,-5,48,49
1,0,-1013,-2,0,-1,0,0,-2,2,-48,19
1,1,12372,1,0,0,0,-3,1,0,45,15
0,1,-200,-2,1,1,0,0,-2,-3,10,4
0,0,-4550,-2,0,-1,0,-7,-4,6,9,9
1,0,11944,0,0,-1,0,6,3,5,18,0
1,1,-446,-2,-1,-2,0,5,1,1,-53,28
1,1,2580,-1,0,1,0,-2,1,-3,-44,-8
0,0,693,1,0,-1,0,-4,-2,4,-53,-16
1,1,-4131,-2,1,0,0,41,-1,-4,36,26
1,1,6863,-1,0,2,0,-13,0,4,73,-9
0,0,-6377,0,0,-3,0,8,2,5,-37,-64
1,1,9455,-1,0,1,0,14,-1,-8,17,37
0,1,7021,1,0,1,0,23,0,-1,42,30
0,1,13180,2,1,-1,0,26,-3,2,-37,24
0,0,-16372,2,0,0,0,2,-2,1,-33,10
1,0,8440,-1,1,1,0,11,-3,3,76,11
0,0,-3430,-2,-1,0,0,-71,1,2,-12,-24
0,0,1394,-1,0,-1,0,-7,-7,3,48,-29
0,0,2672,0,0,-2,0,-2,-1,4,-21,7
1,0,-6964,0,0,-2,0,-36,0,5,-11,-5
0,0,-2465,-2,0,-1,0,3,5,3,-22,12
1,1,13506,2,1,2,0,12,4,-1,-90,21
0,0,-14279,-2,0,-3,0,1,2,3,-137,-8
0,0,-1209,0,1,-2,0,1,-2,9,-91,-8
0,0,2013,-2,0,2,0,12,6,-12,52,29
0,1,2247,-1,0,0,0,-5,1,-6,-49,10
1,0,-2838,-2,0,-2,0,-19,2,4,-14,5
0,0,-7527,0,-1,-3,0,-3,2,8,-127,-45
1,0,-10666,-2,0,-1,0,-15,-4,-1,-13,-31
0,0,-9883,-2,-1,-1,0,-4,1,5,-49,25
1,0,3434,2,1,0,0,-9,-2,-3,33,20
1,0,3181,-2,1,-1,0,-4,-3,2,-25,-30
1,0,18030,2,0,1,0,12,2,-12,25,22
0,0,-6643,0,1,-1,0,-3,-2,6,-28,-36
0,0,-24424,-1,0,-4,0,-4,1,9,-88,-18
0,1,-2591,0,1,0,0,8,3,-1,-2,-9
0,1,-889,0,0,-1,0,40,-1,5,-27,-12
1,1,3407,1,0,2,0,-148,0,-7,8,24
0,0,-5000,1,0,-3,0,22,5,7,-45,-11
0,0,-2687,-1,-1,0,0,18,-3,4,3,-20
1,0,-10969,1,-1,-1,0,0,2,6,-40,-15
1,0,-264,-1,0,1,0,-4,-7,2,23,9
0,1,-8932,0,0,0,0,-2,0,3,23,-9
0,0,-11061,1,-1,-2,0,2,-5,2,-55,-20
0,1,11494,0,0,1,0,28,0,0,88,-2
1,0,-2550,1,1,0,0,244,-2,4,-3,41
1,0,323,-1,0,-1,0,-11,4,1,11,-1
1,1,-1510,1,0,1,0,92,3,-4,9,-31
1,0,-16135,-2,0,-1,0,122,4,6,-39,-20
1,0,-720,1,0,-3,0,-9,-2,6,-45,0
1,1,6829,1,-1,1,0,3,5,-7,-40,9
1,1,4387,1,0,1,0,-16,-2,0,-24,10
0,1,-3413,-1,0,-1,0,-56,1,1,-95,6
1,0,485,2,1,-1,0,0,3,4,43,4
0,1,875,-1,0,2,0,8,7,-1,22,11
0,1,8312,1,0,1,0,-38,0,5,-1,51
1,0,-5186,-2,-1,-2,0,-11,1,3,-45,-14
1,1,10966,1,1,1,0,-5,-4,-3,30,4
1,1,9522,2,0,1,0,7,5,-13,80,34
1,0,-1062,2,0,-1,0,-8,-6,2,-10,-50
0,0,-8621,-1,-1,-3,0,11,2,7,-36,4
1,0,-743,-2,1,0,0,1,-3,-2,-32,-13
1,0,-1963,0,1,0,0,-4,0,-2,14,-8
1,1,6015,2,1,4,0,3,5,-13,67,0
1,1,12498,0,0,2,0,-8,0,0,80,20
0,1,-6589,-2,0,0,0,0,-5,-2,26,-24
1,0,-631,0,0,1,0,-5,-2,1,23,4
1,1,10610,2,1,1,0,6,1,-10,57,-12
1,0,-4663,-1,-1,-3,0,4,1,2,-31,-1
1,1,1318,-1,0,-1,0,-1,-1,0,-52,10
1,1,15320,0,0,3,0,7,5,-15,108,53
0,1,-2842,0,0,0,0,-8,-3,3,-38,3
0,1,-1044,1,0,-1,0,1,-6,4,-17,-16
0,0,-6639,-1,0,-3,0,-1,0,7,-114,-17
1,0,3194,-2,0,1,0,-2,-1,0,11,48
0,1,2026,0,0,1,0,16,2,3,22,-25
0,0,-3658,-2,0,0,0,9,-1,-3,-36,-10
0,1,-7303,-1,0,0,0,-13,-5,-3,-20,-35
1,1,7897,2,1,0,0,0,-4,-1,16,44
1,0,-4029,-1,0,-1,0,-3,2,4,1,-9
1,0,-10523,-2,0,-2,0,-2,-2,6,-80,-10
0,0,-7960,-2,0,-3,0,-8,1,1,-26,-17
0,0,-9500,-2,0,-2,0,16,-1,6,-73,10
1,0,-2780,-2,0,-1,0,4,5,1,-36,47
1,1,5998,0,1,2,0,-5,1,-5,50,-2
0,0,-7471,-1,0,0,0,-7,-2,3,-10,-3
0,0,-6106,1,0,-1,0,-5,0,4,-67,-12
