blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamMinionsKilled,blueTeamTotalGold,blueTeamXp,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamTotalGold,redTeamXp,redTeamTotalDamageToChamps,blueWin
4,0,0,0,0,9,336,-2,-1,31,13,2,0,0,412,101,1,1,0,0
15,1,0,0,0,4,328,1,0,29,8,0,0,0,361,82,-1,0,-1,1
14,2,0,0,0,2,373,0,1,29,9,0,0,0,331,98,-1,-1,-1,1
14,0,0,0,0,9,367,0,0,21,8,1,0,0,378,88,-1,0,-1,1
11,0,0,0,0,7,376,0,0,26,10,2,0,0,377,104,0,1,1,0
11,2,0,0,0,8,373,0,1,30,10,0,0,0,382,91,0,0,0,1
6,0,0,0,0,5,368,-1,0,31,10,2,0,0,362,92,0,0,0,0
9,0,0,0,0,8,351,0,0,24,14,1,0,0,339,100,0,0,1,1
18,1,0,0,0,6,342,2,0,26,15,1,0,0,356,76,0,-1,0,1
9,2,0,0,0,5,365,-1,-1,33,8,0,0,0,382,94,-1,0,-1,1
13,0,0,0,0,6,336,0,0,59,15,1,0,0,386,80,0,1,0,0
8,0,0,0,0,6,381,0,1,23,12,2,0,0,409,87,0,1,0,1
10,1,1,0,0,7,370,0,1,29,11,1,0,0,391,93,0,0,0,1
23,0,1,0,0,5,376,3,2,33,12,1,0,0,343,95,0,0,0,1
13,0,0,0,0,5,337,0,-1,43,14,1,0,0,357,66,0,-1,0,0
10,1,0,0,0,15,356,-1,-1,28,25,1,0,0,382,86,3,3,2,0
13,0,0,0,0,6,332,0,-1,25,17,1,0,0,372,86,1,1,2,0
14,2,0,0,0,8,355,1,1,27,9,0,0,0,330,81,-1,-1,-1,1
9,0,0,0,0,6,404,0,0,48,19,1,0,0,339,82,1,0,2,1
5,0,0,0,0,6,330,-1,-1,66,21,1,0,0,389,88,1,1,1,0
11,0,0,0,0,4,307,-1,-2,23,11,2,0,0,312,82,-1,-2,-1,0
8,0,0,0,0,7,369,-1,-1,32,19,1,0,0,348,84,1,0,0,0
9,0,0,0,0,5,342,-1,0,64,13,2,0,0,362,92,0,1,1,1
6,1,0,0,0,10,323,-1,-1,59,18,1,0,0,392,107,1,2,0,0
16,1,0,0,0,8,339,0,0,78,16,1,0,0,375,92,1,0,0,1
13,0,0,0,0,4,369,0,1,50,10,1,0,0,354,79,-1,0,0,0
10,1,0,0,0,8,349,-1,0,60,17,1,0,0,367,82,1,1,1,0
18,0,0,0,0,6,363,1,0,23,10,1,0,0,346,88,0,0,-1,1
12,1,0,0,0,7,372,0,0,31,14,0,0,0,366,94,1,-1,0,0
8,2,1,0,0,8,327,-1,0,30,16,0,0,0,412,72,1,1,1,0
11,1,1,0,0,6,353,-1,0,60,4,0,0,0,391,92,-1,0,-2,1
16,0,0,0,0,5,297,1,-1,70,24,1,0,0,297,58,0,-1,0,0
13,0,0,0,0,8,308,0,-2,34,21,2,0,0,315,106,1,-1,1,0
14,2,0,0,0,5,387,1,2,22,6,0,0,0,297,86,-2,-2,-1,1
10,0,0,0,0,5,419,0,2,36,4,1,0,0,339,97,-2,0,-2,1
4,0,0,0,0,5,394,-1,-1,26,5,1,0,0,384,92,-1,-1,-1,1
21,1,0,0,0,10,315,1,0,60,9,1,0,0,318,88,0,-1,0,1
9,0,0,0,0,5,368,-1,0,67,10,2,0,0,391,115,0,1,0,1
11,0,0,0,0,14,301,-1,-2,28,17,1,0,0,377,105,2,1,0,0
14,2,0,0,0,7,385,1,0,28,17,0,0,0,348,77,1,0,0,1
13,0,0,0,0,7,299,0,-1,38,16,1,0,0,308,77,0,-1,0,1
5,0,0,0,0,7,332,-2,-2,37,18,1,0,0,375,74,1,0,2,0
12,2,0,0,0,8,378,0,0,25,14,0,0,0,393,70,1,1,0,1
10,1,0,0,0,6,365,0,0,27,15,0,0,0,320,76,0,-1,1,1
18,1,1,0,0,4,363,0,1,27,7,0,0,0,382,100,-1,-1,-1,1
4,0,0,0,0,5,388,-2,-1,27,6,2,0,0,430,94,-1,0,-1,1
14,1,0,0,0,7,369,0,0,29,14,0,0,0,384,90,0,0,0,1
11,0,0,0,0,7,327,0,-2,33,16,1,0,0,313,78,0,0,0,0
6,0,0,0,0,12,349,-1,-1,23,23,2,0,0,406,148,2,4,1,0
5,0,0,0,0,10,319,-2,-3,39,18,2,0,0,296,87,0,-1,0,0
2,1,0,0,0,10,351,-2,-1,26,13,1,0,0,428,94,1,2,-1,0
5,1,0,0,0,6,402,-1,-1,38,10,0,0,0,374,76,-1,0,-1,0
20,1,0,0,0,9,385,2,1,37,13,0,0,0,326,83,-1,-1,0,1
19,1,0,0,0,4,343,1,0,39,14,1,0,0,322,100,0,-1,0,1
13,0,0,0,0,9,318,0,-1,32,13,2,0,0,389,111,2,1,1,0
14,1,1,0,0,3,390,1,2,22,5,0,0,0,340,90,-2,-1,-1,1
12,1,1,0,0,5,395,1,2,23,3,1,0,0,377,111,-1,0,-1,1
26,1,0,0,0,5,390,3,2,54,15,1,0,0,295,92,0,-1,1,1
20,1,0,0,0,5,370,2,2,24,14,1,0,0,318,104,0,1,0,1
11,1,1,0,0,3,396,0,1,32,7,1,0,0,355,97,-1,-1,0,1
16,2,0,0,0,6,366,1,0,30,16,0,0,0,344,104,0,0,1,0
17,2,0,0,0,4,371,1,2,141,10,0,0,0,342,92,-1,-1,0,1
7,0,0,0,0,5,409,-1,0,105,9,1,0,0,423,92,0,1,-1,0
3,0,1,0,0,8,333,-2,-2,30,18,2,0,0,388,83,1,2,1,0
9,1,0,0,0,4,339,-1,-1,29,10,1,0,0,350,100,-1,0,-1,0
12,0,0,0,0,7,358,0,-1,23,18,2,0,0,344,118,1,1,1,0
12,2,0,0,0,7,344,0,-1,30,12,0,0,0,331,81,0,-1,0,1
13,1,0,0,0,8,400,0,1,29,21,1,0,0,385,75,1,2,2,0
23,0,0,0,0,8,330,1,1,98,15,1,0,0,351,105,1,1,2,1
17,0,0,0,0,5,335,1,1,28,8,1,0,0,390,109,0,0,1,1
7,0,0,0,0,10,305,-2,-2,40,16,2,0,0,393,112,1,1,0,0
10,0,0,0,0,5,373,0,0,30,11,2,0,0,312,76,-1,-1,-1,0
20,2,1,0,0,8,348,1,2,27,10,0,0,0,328,84,-1,-1,0,1
20,1,1,0,0,3,396,3,3,26,11,1,0,0,328,79,0,0,-1,1
7,0,0,0,0,4,399,-1,0,25,21,1,0,0,384,98,1,2,1,0
11,1,0,0,0,8,353,0,-1,31,16,0,0,0,360,86,0,0,1,0
10,2,0,0,0,7,353,-1,-1,100,17,0,0,0,303,96,1,0,1,1
11,1,0,0,0,11,339,-1,0,29,18,1,0,0,372,130,1,1,-1,0
12,1,0,0,0,9,343,-1,0,26,10,1,0,0,353,91,0,0,0,0
7,2,0,0,0,12,324,-1,-1,25,9,0,0,0,418,88,1,1,-1,0
9,0,0,0,0,3,413,0,0,100,16,2,0,0,382,88,0,1,0,0
10,2,0,0,0,8,347,-1,0,31,10,0,0,0,337,106,-1,0,0,1
17,0,0,0,0,10,330,1,0,66,12,1,0,0,351,85,0,-1,-1,1
21,1,0,0,0,5,372,2,1,44,9,0,0,0,287,78,-2,-2,-1,1
20,1,1,0,0,8,390,2,2,28,5,0,0,0,355,73,-1,-2,-2,1
14,1,1,0,0,3,386,1,1,35,10,0,0,0,369,72,-1,0,1,1
7,0,0,0,0,9,384,0,0,29,16,2,0,0,369,74,1,1,0,0
9,2,0,0,0,7,326,0,0,64,17,0,0,0,387,101,1,2,0,0
13,0,0,0,0,7,362,0,0,137,24,1,0,0,351,68,2,1,2,0
21,1,1,0,0,7,328,2,0,32,6,0,0,0,335,75,-1,-2,-1,1
15,1,0,0,0,11,349,0,0,22,14,0,0,0,390,90,1,1,1,1
18,1,0,0,0,8,291,0,1,62,19,1,0,0,356,118,1,1,2,0
6,0,1,0,0,7,311,-1,-1,29,15,2,0,0,397,87,1,1,1,0
8,1,0,0,0,7,352,-1,-1,39,10,1,0,0,347,88,-1,0,0,1
20,2,0,0,0,8,362,2,2,69,11,0,0,0,383,74,-1,-1,1,1
17,0,0,0,0,8,332,1,0,30,14,2,0,0,353,99,0,0,1,1
8,1,0,0,0,5,360,-1,0,37,15,0,0,0,392,96,1,2,0,0
6,0,0,0,0,8,348,-1,-1,37,21,2,0,0,429,95,3,3,1,0
10,0,0,0,0,4,360,0,0,30,12,2,0,0,384,100,0,1,1,0
11,0,0,0,0,3,398,1,2,23,8,2,0,0,375,87,-1,0,-1,1
24,2,0,0,0,3,406,3,2,42,14,0,0,0,300,77,0,-2,0,1
16,1,1,0,0,5,400,1,2,97,13,1,0,0,347,92,0,1,0,0
9,0,0,0,0,4,382,-1,0,26,11,2,0,0,356,100,-1,0,-1,0
6,0,0,0,0,6,326,-2,-1,31,15,1,0,0,401,94,1,0,1,0
21,1,0,0,0,5,395,2,1,104,8,1,0,0,334,96,-1,0,-1,1
25,2,0,0,0,2,376,2,2,20,12,0,0,0,323,64,-1,-1,0,1
14,1,0,0,0,7,408,0,1,31,6,0,0,0,359,100,-1,1,-1,1
7,0,0,0,0,5,330,-1,-1,32,10,1,0,0,359,92,0,0,0,0
18,0,0,0,0,8,306,1,-1,27,22,0,0,0,327,88,1,0,1,0
15,0,0,0,0,6,320,0,-2,58,22,2,0,0,342,104,1,0,2,0
17,1,1,0,0,8,345,1,0,29,19,1,0,0,371,94,2,1,2,1
17,1,0,0,0,3,414,1,2,28,10,0,0,0,345,82,0,0,0,0
12,2,0,0,0,2,366,0,-1,23,7,0,0,0,357,96,-1,0,-1,1
25,1,0,0,0,8,362,2,1,36,16,1,0,0,295,96,0,-2,1,1
10,1,1,0,0,11,372,0,1,37,14,1,0,0,373,110,0,0,0,0
7,0,0,0,0,10,338,-1,-2,26,17,1,0,0,420,80,1,1,-1,0
4,1,1,0,0,10,386,-1,0,26,10,1,0,0,410,88,0,1,-1,0
22,1,0,0,0,11,316,1,2,54,16,1,0,0,368,82,0,0,2,0
17,1,0,0,0,6,392,1,2,57,10,0,0,0,341,120,0,0,-1,1
7,1,0,0,0,10,395,-1,0,110,15,1,0,0,365,91,0,1,0,0
10,0,0,0,0,8,346,-1,0,28,9,2,0,0,386,106,0,0,0,0
5,0,0,0,0,11,339,-2,-2,35,19,1,0,0,399,54,1,1,1,0
8,0,0,0,0,6,374,-1,0,102,5,2,0,0,358,106,-1,0,-1,1
12,0,0,0,0,6,357,0,1,21,14,0,0,0,388,106,0,1,1,0
10,1,1,0,0,8,365,0,0,99,11,1,0,0,342,99,0,0,-1,1
15,1,1,0,0,8,360,1,0,24,14,1,0,0,337,69,0,-1,0,1
25,0,0,0,0,4,372,3,2,21,9,1,0,0,332,69,-1,-1,0,1
9,0,0,0,0,8,379,0,1,31,15,1,0,0,375,96,0,2,0,0
12,2,0,0,0,9,368,0,1,175,9,0,0,0,370,110,0,1,-1,1
6,0,0,0,0,5,346,-1,-1,29,15,2,0,0,382,80,0,0,0,0
9,0,0,0,0,6,337,0,0,27,19,2,0,0,405,85,1,2,1,0
12,2,0,0,0,6,400,0,0,59,6,0,0,0,372,109,-1,0,0,1
20,1,0,0,0,2,367,1,1,22,14,1,0,0,299,84,0,-1,2,1
11,1,0,0,0,4,384,0,0,32,11,0,0,0,407,110,1,1,-1,1
10,0,0,0,0,10,247,-1,-2,23,16,1,0,0,405,72,1,0,0,0
15,0,0,0,0,3,406,2,1,28,8,1,0,0,333,94,-1,0,-1,1
13,1,1,0,0,5,406,1,1,31,6,0,0,0,379,84,-1,-1,-1,1
22,1,1,0,0,7,322,1,0,26,13,0,0,0,355,76,0,-1,0,1
8,1,0,0,0,10,360,-1,0,25,20,0,0,0,318,95,1,1,1,0
9,1,0,0,0,8,331,-1,-1,31,18,1,0,0,356,110,1,1,0,0
16,1,0,0,0,6,365,1,0,54,16,1,0,0,346,76,0,0,1,0
9,0,0,0,0,7,337,-1,0,30,21,2,0,0,398,84,1,1,1,0
16,0,0,0,0,5,337,0,0,59,19,1,0,0,333,71,1,0,1,0
15,1,0,0,0,4,374,0,1,23,8,1,0,0,344,66,-2,-1,-1,1
12,1,0,0,0,8,308,0,-1,27,19,1,0,0,359,88,1,0,1,1
5,0,0,0,0,5,344,-2,-1,58,15,2,0,0,412,117,1,2,-1,0
16,1,0,0,0,9,375,1,2,28,15,1,0,0,344,80,0,1,1,0
15,1,0,0,0,2,355,1,0,32,13,1,0,0,279,75,0,-3,0,0
14,0,0,0,0,5,368,1,0,27,15,2,0,0,427,78,1,1,1,0
10,1,0,0,0,5,411,0,0,30,8,0,0,0,364,82,-1,0,-2,0
13,0,0,0,0,7,327,0,0,25,13,2,0,0,369,78,1,0,0,1
10,2,0,0,0,4,415,0,1,30,6,0,0,0,382,114,-1,0,-1,1
9,1,0,0,0,8,374,0,0,33,14,1,0,0,353,84,0,0,0,1
14,1,0,0,0,6,368,1,0,21,20,0,0,0,344,74,1,0,1,0
21,0,0,0,0,1,341,1,1,26,6,1,0,0,337,54,-2,-2,-2,1
2,1,0,0,0,6,382,-2,0,25,6,1,0,0,406,86,-1,1,-2,0
25,2,0,0,0,7,388,3,2,35,7,0,0,0,385,90,-1,0,-1,1
12,1,0,0,0,3,373,0,1,68,14,1,0,0,372,98,1,1,1,0
13,2,0,0,0,4,390,0,1,45,3,0,0,0,393,81,-2,-1,0,1
9,0,0,0,0,8,341,-1,-1,26,13,1,0,0,324,119,0,0,-1,0
12,0,0,0,0,7,288,-1,-2,30,26,0,0,0,347,104,2,2,3,0
6,0,0,0,0,6,353,-1,-1,43,8,1,0,0,369,86,0,0,-1,0
11,2,1,0,0,5,342,0,1,19,9,0,0,0,352,86,-1,0,-1,1
9,1,0,0,0,3,365,0,0,26,8,0,0,0,347,90,-1,-1,-1,1
6,0,0,0,0,7,322,-2,-1,108,18,2,0,0,357,90,1,1,1,0
15,2,1,0,0,7,344,1,1,26,9,0,0,0,360,94,-1,-1,0,0
17,2,1,0,0,2,409,2,0,31,5,0,0,0,357,88,-2,-2,-2,1
17,1,0,0,0,11,332,0,-1,29,14,1,0,0,310,70,0,-2,0,1
10,0,0,0,0,6,405,0,0,45,8,2,0,0,399,108,-1,1,-1,0
18,2,0,0,0,5,338,1,0,31,14,0,0,0,333,100,0,0,0,1
10,1,0,0,0,2,331,0,-1,35,19,1,0,0,325,81,0,0,1,0
11,0,0,0,0,12,315,-1,-1,27,16,2,0,0,366,112,1,0,1,1
9,2,0,0,0,4,370,0,0,27,10,0,0,0,305,90,-1,-1,-1,1
17,1,0,0,0,5,413,1,1,25,10,1,0,0,346,100,0,0,0,1
10,0,0,0,0,8,329,-1,0,26,15,1,0,0,417,96,1,1,0,0
14,0,0,0,0,12,296,-1,-2,28,21,2,0,0,383,78,2,1,2,0
20,1,0,0,0,4,313,1,1,28,14,1,0,0,318,72,-1,-1,1,0
14,1,0,0,0,9,314,0,0,23,13,1,0,0,350,82,0,0,0,0
12,1,1,0,0,7,357,0,0,57,11,1,0,0,365,110,0,0,0,0
25,2,0,0,0,8,315,2,2,24,18,0,0,0,308,76,1,-1,2,1
23,1,1,0,0,7,272,2,-2,28,13,0,0,0,315,94,0,-2,-2,1
14,2,0,0,0,5,338,0,0,46,9,0,0,0,334,105,-1,-1,-2,0
16,2,0,0,0,8,364,0,2,59,7,0,0,0,366,80,-1,1,-1,1
15,2,0,0,0,2,388,1,0,34,8,0,0,0,369,89,-1,0,0,1
6,0,0,0,0,8,358,-1,0,26,14,2,0,0,335,82,0,0,0,0
18,0,0,0,0,5,376,1,0,29,10,1,0,0,332,88,-1,-1,0,1
12,2,0,0,0,5,319,-1,0,26,17,0,0,0,344,97,0,1,0,1
11,0,1,0,0,9,394,0,1,27,14,2,0,0,356,93,0,1,0,0
13,0,0,0,0,4,389,1,1,29,11,1,0,0,353,82,-1,0,0,0
15,0,0,0,0,8,396,1,1,33,11,2,0,0,348,92,-1,-1,-1,0
12,0,0,0,0,11,304,0,-2,22,18,1,0,0,346,118,1,2,1,0
20,0,0,0,0,7,360,1,1,28,9,1,0,0,321,82,0,-1,0,1
11,1,0,0,0,9,364,0,0,27,13,0,0,0,373,92,1,1,-1,1
11,0,0,0,0,7,353,0,0,26,21,2,0,0,371,84,1,1,1,0
19,1,1,0,0,10,341,1,1,61,11,0,0,0,332,80,0,0,0,1
18,1,0,0,0,3,421,2,2,25,10,0,0,0,311,90,-1,-1,-1,0
15,0,0,0,0,8,324,0,0,61,20,1,0,0,372,85,1,1,1,0
15,0,1,0,0,5,369,1,1,30,9,1,0,0,399,88,0,1,-1,1
14,0,1,0,0,6,309,0,0,31,14,1,0,0,376,68,0,0,1,0
13,1,0,0,0,9,343,0,0,30,18,1,0,0,344,76,1,-1,2,1
22,1,0,0,0,7,346,2,1,29,26,0,0,0,294,86,2,0,2,1
11,1,0,0,0,3,385,0,0,30,12,1,0,0,387,102,0,1,-1,1
15,2,0,0,0,9,412,1,2,26,4,0,0,0,355,91,-2,-1,-1,1
7,0,1,0,0,8,380,0,1,28,17,2,0,0,358,102,0,1,1,0
10,0,0,0,0,9,339,-1,-1,33,15,1,0,0,333,80,0,1,1,0
12,0,0,0,0,9,362,0,0,43,14,1,0,0,360,98,1,1,-1,0
16,1,0,0,0,9,364,0,0,63,14,0,0,0,334,93,0,0,1,1
15,1,1,0,0,4,409,1,2,31,8,1,0,0,335,88,-1,0,-1,1
4,1,0,0,0,6,395,-1,0,61,17,0,0,0,397,102,0,3,0,0
7,0,1,0,0,13,319,-1,-2,27,25,2,0,0,413,88,3,2,1,0
14,1,1,0,0,2,400,1,2,25,9,1,0,0,350,73,-1,-2,0,1
18,1,0,0,0,3,335,1,0,16,8,1,0,0,360,85,-1,0,-1,0
14,0,0,0,0,11,332,0,0,28,12,2,0,0,349,75,0,-1,0,1
6,0,0,0,0,10,375,-1,1,22,9,2,0,0,415,121,0,2,0,0
21,2,1,0,0,8,323,1,-1,30,16,0,0,0,307,108,1,-1,1,1
6,0,0,0,0,9,336,-2,-1,28,3,1,0,0,383,94,-1,-1,-1,0
8,1,0,0,0,4,376,-1,-1,28,12,1,0,0,370,92,0,0,-1,1
16,2,0,0,0,7,395,1,1,36,15,0,0,0,364,92,1,1,-1,0
11,1,0,0,0,10,330,-1,0,30,9,1,0,0,398,106,1,0,0,0
16,2,0,0,0,8,399,0,1,18,10,0,0,0,398,76,0,0,0,1
17,1,0,0,0,6,393,1,1,23,10,0,0,0,366,82,0,0,-1,1
23,0,0,0,0,6,318,1,0,30,19,0,0,0,297,68,1,0,1,1
11,0,0,0,0,11,317,0,0,30,12,2,0,0,366,92,0,0,0,0
15,1,0,0,0,9,359,1,1,41,17,0,0,0,342,80,1,0,0,1
14,0,0,0,0,4,373,0,1,30,13,1,0,0,334,92,-1,-1,0,0
11,0,0,0,0,6,332,-1,-1,41,14,2,0,0,386,80,1,1,0,0
7,1,0,0,0,9,294,-1,-2,25,23,0,0,0,379,78,2,1,2,0
19,1,0,0,0,8,305,0,0,64,15,0,0,0,369,101,1,1,1,0
10,2,1,0,0,9,386,0,1,27,15,0,0,0,368,96,0,0,0,0
29,2,0,0,0,7,377,3,2,25,9,0,0,0,289,70,-1,-3,-1,1
15,1,1,0,0,7,373,0,0,29,11,0,0,0,345,90,0,-1,-2,1
13,0,0,0,0,7,327,0,-1,27,12,1,0,0,317,116,0,0,1,1
22,1,0,0,0,10,318,1,-1,67,22,1,0,0,328,64,1,0,2,1
8,1,0,0,0,12,346,-1,-1,33,15,1,0,0,402,88,2,1,0,0
17,0,0,0,0,5,341,0,0,28,7,1,0,0,325,94,-1,-1,0,1
14,1,0,0,0,9,365,1,1,26,17,0,0,0,326,84,0,0,0,1
12,1,0,0,0,6,320,0,-1,33,17,1,0,0,318,75,0,0,1,1
8,0,0,0,0,7,393,-1,0,23,10,2,0,0,361,96,-1,1,-1,0
7,0,0,0,0,6,367,-1,0,25,13,1,0,0,386,87,0,1,0,0
21,1,0,0,0,7,345,1,1,27,12,0,0,0,335,101,0,0,-1,1
11,1,0,0,0,6,365,0,0,24,10,0,0,0,344,89,-1,0,1,1
10,2,0,0,0,8,375,-1,1,188,8,0,0,0,399,116,0,0,0,0
4,1,0,0,0,8,363,-2,-1,40,8,0,0,0,431,85,0,0,0,1
22,1,0,0,0,2,441,2,2,26,4,0,0,0,367,90,-2,-1,-2,1
13,1,0,0,0,7,358,0,0,31,11,0,0,0,373,91,0,0,0,1
13,1,0,0,0,6,357,0,1,134,9,0,0,0,383,98,0,0,-1,1
10,0,0,0,0,5,328,0,-1,49,15,1,0,0,322,82,0,0,0,1
14,1,0,0,0,6,398,1,0,34,8,0,0,0,377,66,-1,0,-1,1
7,1,0,0,0,7,362,-1,-1,36,12,1,0,0,374,91,0,1,-1,0
15,1,0,0,0,6,375,1,1,36,4,0,0,0,356,91,-2,-1,-1,1
7,1,0,0,0,4,338,-1,-1,34,13,0,0,0,343,102,0,0,0,0
13,2,0,0,0,4,401,0,1,39,6,0,0,0,370,85,-1,-1,-1,1
10,2,0,0,0,1,403,1,1,27,7,0,0,0,366,80,-1,-1,-1,1
13,1,0,0,0,9,381,0,1,30,10,1,0,0,379,82,0,0,1,0
16,1,0,0,0,3,328,1,0,36,8,1,0,0,354,84,-1,-1,-1,1
10,1,0,0,0,5,373,0,0,29,6,1,0,0,358,92,-1,-1,-1,0
13,1,0,0,0,9,368,0,0,79,13,1,0,0,394,118,1,1,0,0
6,0,0,0,0,8,357,-1,-2,29,7,1,0,0,378,80,-1,0,0,0
8,1,0,0,0,4,414,0,1,32,6,1,0,0,411,90,-1,1,-1,1
29,2,0,0,0,7,365,3,1,33,15,0,0,0,306,78,1,-1,0,1
6,0,0,0,0,8,321,-2,-2,38,14,2,0,0,358,101,1,0,0,1
17,1,0,0,0,10,312,0,-1,29,18,0,0,0,317,88,0,-1,1,0
13,2,0,0,0,6,375,0,0,29,13,0,0,0,334,78,0,0,-1,1
11,0,0,0,0,12,313,0,-1,112,23,2,0,0,372,106,3,2,1,0
6,0,0,0,0,1,402,-1,0,99,10,0,0,0,343,99,-1,1,-1,0
17,0,0,0,0,7,335,1,0,25,14,2,0,0,333,98,0,0,0,1
8,1,1,0,0,5,380,-1,0,131,11,1,0,0,352,106,0,1,-1,0
14,1,0,0,0,7,275,-1,-1,26,12,0,0,0,370,70,0,0,0,0
13,0,0,0,0,1,370,0,0,30,20,1,0,0,363,104,1,2,1,0
9,1,0,0,0,5,353,-1,0,30,9,0,0,0,372,76,0,0,-1,1
6,0,0,0,0,5,256,-2,-2,31,12,2,0,0,397,94,0,1,-1,0
13,1,1,0,0,10,333,0,-1,28,14,1,0,0,326,72,0,-1,0,1
11,1,0,0,0,5,318,-1,-2,29,15,1,0,0,357,88,1,0,0,0
11,0,0,0,0,11,318,-1,-1,27,18,2,0,0,344,84,1,0,1,0
16,0,0,0,0,5,384,1,2,35,7,2,0,0,354,72,-1,-1,0,1
8,0,0,0,0,7,356,-1,-1,70,15,2,0,0,414,96,1,1,0,0
14,1,0,0,0,5,301,0,-1,34,20,1,0,0,327,94,1,1,2,0
5,0,0,0,0,8,416,-1,1,20,10,2,0,0,372,104,0,1,-1,0
14,0,1,0,0,8,312,0,-1,200,21,2,0,0,309,96,1,0,1,1
15,1,0,0,0,7,368,1,2,28,10,1,0,0,379,96,0,1,1,0
14,1,0,0,0,6,381,1,1,43,16,1,0,0,335,114,1,1,0,1
9,1,0,0,0,8,285,-1,-1,31,23,1,0,0,340,90,2,1,1,0
10,1,1,0,0,5,381,0,1,39,7,1,0,0,398,88,0,0,-1,1
12,1,1,0,0,3,326,0,-1,32,15,0,0,0,364,70,0,0,-1,0
9,0,0,0,0,9,370,0,-1,34,16,1,0,0,348,120,1,2,0,0
8,0,0,0,0,6,402,0,0,34,12,2,0,0,446,81,0,1,0,0
4,0,0,0,0,9,358,-1,0,30,8,1,0,0,396,56,0,-1,1,1
9,0,0,0,0,6,395,0,1,23,12,2,0,0,312,81,-1,0,1,1
19,2,0,0,0,6,366,1,1,23,2,0,0,0,313,81,-2,-2,-2,1
15,1,0,0,0,6,335,1,0,27,19,1,0,0,347,98,1,1,1,1
8,0,0,0,0,11,296,-1,-1,32,18,2,0,0,346,90,1,1,1,0
10,0,0,0,0,2,407,1,1,87,10,1,0,0,368,109,-1,0,-2,1
17,1,0,0,0,7,357,1,1,23,8,1,0,0,350,108,0,0,0,1
5,0,0,0,0,11,325,-1,0,68,19,2,0,0,395,92,2,2,1,0
11,1,0,0,0,6,329,-1,0,36,10,1,0,0,366,118,0,1,0,1
8,0,0,0,0,4,387,-1,0,26,9,2,0,0,367,86,-1,0,0,1
9,0,0,0,0,10,323,-1,0,38,10,2,0,0,359,95,0,1,0,1
16,1,0,0,0,5,405,1,2,26,13,0,0,0,349,68,0,0,0,1
22,0,0,0,0,4,331,1,0,33,12,2,0,0,320,123,0,1,0,0
21,2,0,0,0,6,324,1,0,23,14,0,0,0,334,68,0,-1,1,0
10,0,0,0,0,5,348,-1,0,23,12,2,0,0,370,98,0,0,-1,0
9,0,0,0,0,6,319,-1,-1,27,15,1,0,0,386,80,1,0,0,0
21,2,1,0,0,5,350,3,1,23,17,0,0,0,312,82,0,-1,0,1
6,0,0,0,0,11,329,-1,-1,27,37,1,0,0,376,89,4,4,4,0
14,1,1,0,0,7,375,1,1,28,8,1,0,0,315,82,-1,-1,-1,1
13,0,0,0,0,11,314,-1,0,29,11,2,0,0,323,99,0,-1,0,1
9,2,0,0,0,8,416,0,1,37,7,0,0,0,402,112,0,0,-1,1
8,1,0,0,0,7,356,-1,-1,28,15,1,0,0,373,96,1,1,1,0
17,0,1,0,0,5,338,1,0,37,10,2,0,0,341,83,-1,-1,0,1
15,0,1,0,0,8,360,1,0,44,17,2,0,0,339,73,1,0,1,1
15,1,0,0,0,7,334,0,0,23,9,1,0,0,342,67,-1,-2,0,1
11,0,1,0,0,5,384,0,2,24,3,1,0,0,351,92,-2,-1,-1,1
12,1,0,0,0,5,376,0,-1,26,14,1,0,0,345,133,0,1,-1,0
8,0,0,0,0,8,358,-1,0,188,10,1,0,0,336,98,-1,0,1,1
9,2,0,0,0,8,412,-1,1,29,14,0,0,0,343,124,0,1,0,1
18,2,0,0,0,8,330,0,0,20,17,0,0,0,301,75,0,0,1,0
13,2,1,0,0,7,364,0,1,22,7,0,0,0,362,84,-1,0,-1,1
13,0,0,0,0,8,376,0,0,97,11,2,0,0,325,72,-1,-1,0,1
10,1,0,0,0,6,406,0,0,36,21,0,0,0,370,82,2,2,0,0
8,2,0,0,0,10,383,-1,0,42,16,0,0,0,380,89,1,2,0,0
12,0,0,0,0,10,324,0,-2,32,19,2,0,0,324,69,2,0,1,0
19,1,0,0,0,5,369,2,0,26,8,0,0,0,295,80,-1,-2,0,1
12,1,0,0,0,13,367,0,0,21,10,1,0,0,371,94,0,0,0,0
4,0,0,0,0,10,380,-1,-1,34,19,2,0,0,408,100,1,2,1,0
10,0,0,0,0,8,292,-1,-2,23,21,2,0,0,374,91,2,1,2,0
26,1,0,0,0,6,348,2,1,42,10,0,0,0,323,89,0,-2,-1,1
25,1,0,0,0,6,360,2,1,26,14,1,0,0,294,89,0,-1,1,1
13,1,0,0,0,7,360,1,0,39,14,1,0,0,310,83,0,0,0,1
12,1,0,0,0,6,326,-1,-1,24,12,1,0,0,352,101,0,0,0,0
10,1,0,0,0,6,357,0,0,29,13,1,0,0,399,99,0,1,-1,0
7,0,0,0,0,5,415,0,0,34,7,1,0,0,392,108,-1,0,-1,0
